Year,Month,Total Rainfall (mm),Date,Month Type,Year Type,Class
1977,9,3.1,1/09/1977,Dry,Dry,1977_Dry
1977,10,29.1,1/10/1977,Dry,Dry,1977_Dry
1977,11,0.6,1/11/1977,Dry,Dry,1977_Dry
1977,12,7.5,1/12/1977,Dry,Dry,1977_Dry
1978,1,21.6,1/01/1978,Dry,Dry,1977_Dry
1978,2,24.5,1/02/1978,Dry,Dry,1977_Dry
1978,3,3,1/03/1978,Dry,Dry,1977_Dry
1978,4,41.2,1/04/1978,Wet,Dry,1977_Dry
1978,5,32.6,1/05/1978,Dry,Dry,1977_Dry
1978,6,64.6,1/06/1978,Wet,Dry,1978_Wet
1978,7,109.1,1/07/1978,Wet,Dry,1978_Wet
1978,8,22.95,1/08/1978,Dry,Dry,1978_Wet
1978,9,45.55,1/09/1978,Wet,Dry,1978_Wet
1978,10,10.1,1/10/1978,Dry,Dry,1978_Dry
1978,11,4.7,1/11/1978,Dry,Dry,1978_Dry
1978,12,20.75,1/12/1978,Dry,Dry,1978_Dry
1979,1,0,1/01/1979,Dry,Dry,1978_Dry
1979,2,6.3,1/02/1979,Dry,Dry,1978_Dry
1979,3,33.4,1/03/1979,Dry,Dry,1978_Dry
1979,4,16.3,1/04/1979,Dry,Dry,1978_Dry
1979,5,33.75,1/05/1979,Dry,Dry,1978_Dry
1979,6,41.8,1/06/1979,Wet,Dry,1979_Wet
1979,7,16.95,1/07/1979,Dry,Dry,1979_Wet
1979,8,48.7,1/08/1979,Wet,Dry,1979_Wet
1979,9,11.3,1/09/1979,Dry,Dry,1979_Dry
1979,10,1.9,1/10/1979,Dry,Dry,1979_Dry
1979,11,19.85,1/11/1979,Dry,Dry,1979_Dry
1979,12,1.7,1/12/1979,Dry,Dry,1979_Dry
1980,1,1.1,1/01/1980,Dry,Dry,1979_Dry
1980,2,1.5,1/02/1980,Dry,Dry,1979_Dry
1980,3,6.5,1/03/1980,Dry,Dry,1979_Dry
1980,4,29.6,1/04/1980,Dry,Dry,1979_Dry
1980,5,52.3,1/05/1980,Wet,Dry,1980_Wet
1980,6,66.3,1/06/1980,Wet,Dry,1980_Wet
1980,7,65.26666667,1/07/1980,Wet,Dry,1980_Wet
1980,8,40.06666667,1/08/1980,Wet,Dry,1980_Wet
1980,9,10.46666667,1/09/1980,Dry,Dry,1980_Dry
1980,10,14.83333333,1/10/1980,Dry,Dry,1980_Dry
1980,11,6.933333333,1/11/1980,Dry,Dry,1980_Dry
1980,12,0.066666667,1/12/1980,Dry,Dry,1980_Dry
1981,1,5.066666667,1/01/1981,Dry,Dry,1980_Dry
1981,2,26,1/02/1981,Dry,Dry,1980_Dry
1981,3,0.466666667,1/03/1981,Dry,Dry,1980_Dry
1981,4,0.066666667,1/04/1981,Dry,Dry,1980_Dry
1981,5,100.2666667,1/05/1981,Wet,Dry,1981_Wet
1981,6,81.5,1/06/1981,Wet,Dry,1981_Wet
